iter	MultiClass
0	1.019387745
1	0.9505188766
2	0.8898745572
3	0.8359104746
4	0.7895645087
5	0.7449199089
6	0.704192356
7	0.6659208615
8	0.6331577914
9	0.6023148277
10	0.5741893807
11	0.5500035352
12	0.5257485867
13	0.5012867533
14	0.4797272194
15	0.4619973129
16	0.4433425014
17	0.4256225228
18	0.4085605105
19	0.3929773027
20	0.3784729309
21	0.3642452643
22	0.3507332612
23	0.3374393092
24	0.3264304573
25	0.3142250427
26	0.3026166564
27	0.293309771
28	0.2836092659
29	0.27436601
30	0.2659183068
31	0.2575101863
32	0.2490305499
33	0.2420571985
34	0.2342597233
35	0.2272488593
36	0.2202254505
37	0.2137554003
38	0.2082432333
39	0.2032529662
40	0.1978119726
41	0.1926220842
42	0.1883607104
43	0.183820775
44	0.179256703
45	0.1750407731
46	0.1706077118
47	0.1667195168
48	0.1628073678
49	0.1591030117
50	0.1554927774
51	0.1516919088
52	0.1482115659
53	0.1449307246
54	0.1419521638
55	0.1389620149
56	0.1360535092
57	0.1333862292
58	0.1311541842
59	0.1284236605
60	0.1257020768
61	0.1233452867
62	0.1209364476
63	0.1187163447
64	0.1164468925
65	0.1146718828
66	0.1127964978
67	0.1106776285
68	0.10880419
69	0.1070584347
70	0.1052626077
71	0.1034139341
72	0.1015887652
73	0.1001483864
74	0.09875155255
75	0.09749117124
76	0.09602392402
77	0.09490339543
78	0.0934583655
79	0.09204248447
80	0.0905530455
81	0.08926738703
82	0.08799553992
83	0.08679264709
84	0.08566905573
85	0.08461102961
86	0.08350949343
87	0.08269872146
88	0.0815032182
89	0.08061200964
90	0.07978164056
91	0.0787099318
92	0.07755475847
93	0.07663027288
94	0.07569577219
95	0.07488024482
96	0.07421573237
97	0.07348041598
98	0.072698151
99	0.07190090094
100	0.07101360223
101	0.07021010423
102	0.06937970048
103	0.06873639703
104	0.06782572049
105	0.0670831724
106	0.06656662476
107	0.0659343825
108	0.06537526209
109	0.06478535807
110	0.06419895189
111	0.06358076982
112	0.06278298171
113	0.06220727224
114	0.06163412791
115	0.06110900482
116	0.06066563014
117	0.06001950564
118	0.05950189431
119	0.05904243899
120	0.05845085674
121	0.05797266589
122	0.05751364287
123	0.05705663607
124	0.0562690377
125	0.05564156718
126	0.05513312769
127	0.05476633444
128	0.05417048698
129	0.05390862335
130	0.0536462189
131	0.05326732886
132	0.05271685899
133	0.0521965219
134	0.05170947967
135	0.05132641706
136	0.05091714534
137	0.05049004939
138	0.0500991847
139	0.0498221169
140	0.04930524472
141	0.04898731494
142	0.04866815737
143	0.04826974678
144	0.04798610917
145	0.04765091769
146	0.04731287188
147	0.04690707019
148	0.0466592725
149	0.04620193266
150	0.04596671443
151	0.0456381128
152	0.04528387483
153	0.04499475666
154	0.04452928267
155	0.04428698244
156	0.04404435532
157	0.04373083822
158	0.04336094913
159	0.04295997676
160	0.04257187205
161	0.04226901757
162	0.04200473184
163	0.04174491255
164	0.04146257983
165	0.04115805243
166	0.04096756848
167	0.04060519797
168	0.04036024284
169	0.04008410294
170	0.03980874976
171	0.03944392942
172	0.03914595655
173	0.03892186659
174	0.03860615653
175	0.03831973811
176	0.03806928382
177	0.03786811027
178	0.03759066946
179	0.03734039045
180	0.03716049196
181	0.03698334096
182	0.03677309326
183	0.03656736694
184	0.03631059816
185	0.03600161084
186	0.03580341014
187	0.03554025014
188	0.03530149563
189	0.03504002552
190	0.03488631585
191	0.03471039779
192	0.03462611064
193	0.03438478739
194	0.03412000863
195	0.03395605292
196	0.03369678885
197	0.03353677444
198	0.03328190254
199	0.03311524633
200	0.03291962694
201	0.03262312604
202	0.03246299116
203	0.03229409255
204	0.03213604403
205	0.03194382841
206	0.03177030722
207	0.03159816289
208	0.03143755984
209	0.03126171207
210	0.03103925113
211	0.03082957598
212	0.03065399259
213	0.03045597957
214	0.03034579806
215	0.03017722212
216	0.02998022212
217	0.02977409298
218	0.02960172286
219	0.02936190673
220	0.02918259419
221	0.0289899861
222	0.02885784843
223	0.02866405739
224	0.02843792734
225	0.02834853398
226	0.02822814043
227	0.02811800336
228	0.02796107388
229	0.02779374194
230	0.02765919298
231	0.02751655046
232	0.02737335778
233	0.02718278906
234	0.02703325303
235	0.02688762837
236	0.02675474297
237	0.02660834379
238	0.02646969857
239	0.02629708927
240	0.02614562066
241	0.02601062527
242	0.02583098213
243	0.02566466107
244	0.02550046795
245	0.02531394249
246	0.02515163254
247	0.02506129102
248	0.02491202532
249	0.02479362443
250	0.02458830964
251	0.02447431045
252	0.02434450672
253	0.02426134915
254	0.02413654693
255	0.02400998132
256	0.02392677937
257	0.02385392212
258	0.02371971744
259	0.02363065699
260	0.02351322559
261	0.02340311119
262	0.02325514339
263	0.02318725511
264	0.02310902889
265	0.0229697413
266	0.02285257644
267	0.02276571559
268	0.02264061417
269	0.02249362979
270	0.02237197708
271	0.02222873553
272	0.02209812334
273	0.0220028518
274	0.02186511419
275	0.02174643118
276	0.02168100249
277	0.02156874963
278	0.02146773602
279	0.02134500038
280	0.02127072111
281	0.02114291793
282	0.02105441292
283	0.02094643323
284	0.02088351777
285	0.02077435981
286	0.02068214202
287	0.02059382704
288	0.0205088138
289	0.02039362283
290	0.02028922144
291	0.0202232148
292	0.02015219134
293	0.0200336991
294	0.01993717379
295	0.01984306842
296	0.01979362633
297	0.01968184126
298	0.0196058967
299	0.01955374007
300	0.01945544905
301	0.01939114087
302	0.01931973204
303	0.01922694167
304	0.01916235401
305	0.0190496015
306	0.01893535237
307	0.01888114264
308	0.01880501406
309	0.01874568417
310	0.0186455195
311	0.01858342227
312	0.01851491942
313	0.0184115428
314	0.01832625023
315	0.01826178208
316	0.01817987108
317	0.01811480225
318	0.01804651153
319	0.01798096394
320	0.01792466326
321	0.01784800397
322	0.01777956486
323	0.01769904308
324	0.01760154341
325	0.01750541796
326	0.01743261976
327	0.01736561984
328	0.01726587982
329	0.01717081024
330	0.01711115413
331	0.01705255047
332	0.01697048497
333	0.01687411028
334	0.01680151274
335	0.01674563045
336	0.01669572994
337	0.01663804053
338	0.01656168696
339	0.01648017744
340	0.01640725673
341	0.01633560889
342	0.01625981353
343	0.01619845797
344	0.01612741882
345	0.01605721456
346	0.01599449223
347	0.01593636363
348	0.0158623856
349	0.01581141175
350	0.01576894183
351	0.01569827072
352	0.01565198591
353	0.01561244189
354	0.01553503591
355	0.015475113
356	0.01541315274
357	0.01533521595
358	0.01528637173
359	0.0152137001
360	0.01514665215
361	0.01509632053
362	0.01503632703
363	0.01497371395
364	0.01492281837
365	0.01487313608
366	0.01483130255
367	0.01477686628
368	0.01472670219
369	0.01467783207
370	0.01462451934
371	0.01457496678
372	0.01448985331
373	0.01439279192
374	0.01431074496
375	0.01424758586
376	0.01415123837
377	0.01409618465
378	0.01404289399
379	0.01401245551
380	0.01397241661
381	0.01389981176
382	0.01383598431
383	0.01379383315
384	0.01373626218
385	0.01367019202
386	0.01361487569
387	0.01353843056
388	0.01347655779
389	0.0134465781
390	0.01336562624
391	0.01332883405
392	0.01330278357
393	0.01324531633
394	0.01318444293
395	0.01314467968
396	0.01307816229
397	0.01303015559
398	0.01297529309
399	0.0129261568
400	0.01287537981
401	0.01282680527
402	0.0127797864
403	0.01275305836
404	0.01268058226
405	0.01263538413
406	0.0125876214
407	0.01254670321
408	0.01248842217
409	0.01244862434
410	0.01239239447
411	0.01234129078
412	0.01228686948
413	0.0122096672
414	0.01217376851
415	0.01212748192
416	0.01208108345
417	0.01205040607
418	0.01200774037
419	0.0119724174
420	0.01195037392
421	0.01189632576
422	0.01185358369
423	0.01181318419
424	0.01176879571
425	0.01173019941
426	0.01169779282
427	0.01166131818
428	0.01162179465
429	0.01156945942
430	0.01154420146
431	0.01151095523
432	0.01148048777
433	0.01144748593
434	0.01141597367
435	0.01138235732
436	0.01132196453
437	0.0112857837
438	0.01122238025
439	0.01117891812
440	0.01114026213
441	0.01110386353
442	0.01107169524
443	0.01102485297
444	0.01098088625
445	0.01095360087
446	0.01091366346
447	0.01086628942
448	0.01083946335
449	0.01081884678
450	0.01079445634
451	0.01075652899
452	0.01070146735
453	0.01067233305
454	0.01063806857
455	0.01060273538
456	0.01057083477
457	0.01054520832
458	0.01050818899
459	0.01046738179
460	0.01042009028
461	0.0103938305
462	0.01035619682
463	0.01033032741
464	0.01029192198
465	0.01027916512
466	0.01025845309
467	0.01022551352
468	0.01019733187
469	0.01016324977
470	0.01013312472
471	0.01008952275
472	0.01004112146
473	0.01000775904
474	0.009964362432
475	0.009921263747
