iter	Passed	Remaining
0	2	1256
1	4	1158
2	6	1153
3	9	1126
4	10	1077
5	13	1100
6	15	1119
7	18	1159
8	21	1165
9	23	1154
10	25	1151
11	28	1169
12	31	1174
13	33	1178
14	36	1189
15	38	1161
16	43	1229
17	45	1229
18	48	1219
19	50	1215
20	53	1220
21	57	1258
22	60	1252
23	63	1250
24	65	1241
25	68	1249
26	71	1244
27	73	1237
28	75	1229
29	78	1227
30	80	1224
31	83	1217
32	85	1209
33	88	1207
34	91	1210
35	93	1203
36	95	1196
37	97	1187
38	99	1179
39	101	1169
40	103	1163
41	106	1158
42	109	1159
43	111	1159
44	113	1152
45	116	1148
46	118	1144
47	120	1136
48	122	1128
49	124	1122
50	127	1119
51	129	1112
52	131	1104
53	132	1097
54	134	1091
55	137	1086
56	139	1082
57	141	1078
58	143	1072
59	145	1067
60	147	1060
61	149	1054
62	151	1050
63	153	1045
64	155	1040
65	157	1035
66	159	1029
67	161	1024
68	163	1019
69	165	1015
70	167	1011
71	169	1006
72	171	1001
73	173	996
74	175	992
75	176	986
76	178	981
77	180	979
78	183	975
79	185	972
80	187	967
81	189	963
82	190	959
83	192	954
84	194	951
85	196	947
86	198	943
87	200	938
88	202	933
89	204	930
90	206	926
91	208	923
92	210	919
93	212	916
94	213	912
95	215	908
96	217	905
97	219	901
98	221	897
99	223	894
100	225	891
101	227	887
102	229	884
103	231	881
104	233	878
105	235	874
106	237	870
107	239	868
108	241	865
109	243	862
110	245	859
111	247	856
112	249	852
113	250	849
114	253	847
115	255	845
116	257	843
117	260	842
118	262	839
119	264	837
120	266	835
121	269	833
122	271	831
123	273	829
124	275	827
125	277	824
126	279	822
127	281	819
128	283	816
129	285	813
130	287	810
131	289	807
132	291	804
133	293	801
134	295	799
135	297	796
136	299	793
137	301	790
138	303	787
139	305	784
140	307	781
141	308	778
142	310	776
143	313	774
144	315	771
145	316	768
146	318	765
147	320	762
148	322	759
149	324	756
150	326	753
151	328	751
152	330	748
153	331	745
154	334	743
155	336	740
156	338	738
157	340	736
158	342	733
159	343	730
160	345	728
161	347	725
162	349	722
163	351	720
164	353	717
165	355	714
166	357	712
167	359	710
168	361	707
169	363	704
170	364	702
171	366	699
172	368	696
173	370	694
174	372	691
175	374	689
176	376	686
177	378	683
178	379	681
179	382	679
180	383	676
181	385	674
182	387	671
183	389	668
184	391	666
185	393	663
186	395	661
187	396	658
188	398	656
189	400	654
190	403	652
191	405	650
192	407	648
193	410	647
194	412	645
195	414	642
196	416	640
197	418	638
198	420	635
199	422	633
200	424	630
201	426	628
202	428	626
203	430	623
204	432	621
205	434	619
206	435	616
207	437	614
208	439	612
209	441	609
210	443	607
211	445	604
212	447	602
213	448	599
214	450	597
215	452	595
216	454	592
217	456	590
218	458	588
219	460	586
220	462	583
221	464	581
222	466	578
223	467	576
224	469	574
225	471	571
226	473	569
227	475	567
228	477	565
229	479	562
230	481	560
231	483	558
232	485	555
233	487	553
234	489	551
235	491	549
236	492	546
237	494	544
238	496	542
239	498	539
240	500	537
241	502	535
242	504	533
243	506	530
244	508	528
245	509	526
246	511	524
247	513	521
248	515	519
249	517	517
250	519	515
251	521	513
252	523	511
253	525	508
254	527	507
255	529	505
256	532	503
257	534	500
258	536	499
259	538	496
260	539	494
261	541	492
262	544	490
263	545	487
264	547	485
265	549	483
266	551	481
267	553	479
268	556	477
269	558	475
270	560	473
271	562	471
272	564	469
273	566	467
274	568	465
275	570	462
276	572	460
277	573	458
278	575	456
279	578	454
280	580	452
281	582	450
282	584	447
283	585	445
284	587	443
285	590	441
286	592	439
287	594	437
288	596	435
289	598	433
290	600	431
291	602	428
292	603	426
293	605	424
294	607	422
295	609	420
296	611	418
297	614	416
298	616	414
299	618	412
300	620	410
301	622	408
302	625	406
303	627	404
304	631	403
305	633	401
306	635	399
307	637	397
308	640	395
309	643	394
310	646	392
311	649	391
312	651	389
313	654	387
314	656	385
315	658	383
316	661	382
317	664	380
318	667	378
319	669	376
320	672	374
321	674	372
322	677	371
323	679	369
324	682	367
325	684	365
326	687	363
327	689	361
328	692	360
329	695	358
330	697	356
331	700	354
332	702	352
333	706	351
334	709	349
335	712	347
336	714	345
337	716	343
338	719	341
339	722	339
340	725	338
341	727	336
342	730	334
343	732	332
344	734	329
345	737	328
346	741	326
347	743	324
348	746	322
349	749	321
350	751	319
351	754	317
352	758	315
353	760	313
354	762	311
355	765	309
356	767	307
357	770	305
358	773	303
359	775	301
360	778	299
361	780	297
362	782	295
363	784	293
364	787	291
365	789	289
366	792	287
367	794	284
368	796	282
369	798	280
370	801	278
371	803	276
372	806	274
373	809	272
374	811	270
375	813	268
376	816	266
377	818	264
378	821	262
379	823	259
380	825	257
381	827	255
382	829	253
383	832	251
384	834	249
385	836	247
386	839	244
387	841	242
388	843	240
389	845	238
390	848	236
391	850	234
392	852	232
393	854	229
394	856	227
395	858	225
396	860	223
397	862	220
398	864	218
399	866	216
400	868	214
401	870	212
402	872	209
403	874	207
404	876	205
405	878	203
406	879	201
407	881	198
408	883	196
409	885	194
410	887	192
411	889	190
412	891	187
413	894	185
414	896	183
415	898	181
416	901	179
417	903	177
418	905	175
419	907	172
420	909	170
421	911	168
422	913	166
423	915	164
424	917	161
425	919	159
426	921	157
427	923	155
428	925	153
429	927	150
430	929	148
431	931	146
432	933	144
433	935	142
434	937	140
435	939	137
436	942	135
437	944	133
438	946	131
439	948	129
440	951	127
441	953	125
442	956	123
443	958	120
444	960	118
445	962	116
446	965	114
447	967	112
448	969	110
449	971	107
450	973	105
451	976	103
452	978	101
453	980	99
454	982	97
455	984	95
456	987	92
457	989	90
458	991	88
459	993	86
460	995	84
461	997	82
462	1000	79
463	1002	77
464	1004	75
465	1007	73
466	1009	71
467	1011	69
468	1013	67
469	1015	64
470	1018	62
471	1020	60
472	1023	58
473	1025	56
474	1027	54
475	1029	51
476	1032	49
477	1034	47
478	1036	45
479	1038	43
480	1040	41
481	1042	38
482	1044	36
483	1046	34
484	1048	32
485	1050	30
486	1052	28
487	1055	25
488	1057	23
489	1058	21
490	1060	19
491	1062	17
492	1064	15
493	1067	12
494	1069	10
495	1071	8
496	1073	6
497	1074	4
498	1076	2
499	1078	0
